Department,Text_Length,Word_Count
Finance,4260,531
Finance,7276,968
Finance,2076,256
Finance,5779,741
Finance,7066,869
Finance,6521,805
Finance,5444,718
Finance,8546,1083
Finance,5721,720
Finance,5845,758
Finance,5196,650
Finance,5170,627
Finance,10154,1281
Finance,6144,750
Finance,5602,723
Finance,4349,550
Finance,7685,957
Finance,5727,829
Finance,5776,772
Finance,5114,661
Finance,6699,903
Finance,5976,771
Finance,5948,717
Finance,2707,334
Finance,8645,1110
Finance,5743,751
Finance,5545,689
Finance,5639,714
Finance,3696,477
Finance,5196,650
Finance,6705,1009
Finance,3221,400
Finance,8381,1093
Finance,5400,672
Finance,8151,1026
Finance,9741,1255
Finance,6226,798
Finance,5722,764
Finance,6192,795
Finance,3276,407
Finance,5048,684
Finance,5512,717
Finance,5677,755
Finance,2442,280
Finance,5413,637
Finance,5216,622
Finance,7302,1015
Finance,5635,691
Finance,5357,648
Finance,6762,902
Finance,5049,625
Finance,5705,702
